INN_CT BAT_HOME_ID OUTS_CT RUNNERS HOME_AWAY HOME_LOSES GAMES HOME_WINS
1 1 1 0 3 26 175 149
1 1 1 0 2 87 383 296
1 1 1 0 1 310 883 573
1 1 1 0 0 1813 3857 2044
1 1 1 0 -1 139 223 84
1 1 1 0 -2 86 133 47
1 1 1 0 -3 42 58 16
1 1 1 0 -4 21 25 4
1 1 1 0 -5 4 6 2
1 1 1 0 -6 1 1 0
1 1 1 0 -7 1 1 0
1 1 1 1 6 0 1 1
1 1 1 1 5 1 12 11
1 1 1 1 4 5 33 28
1 1 1 1 3 13 62 49
1 1 1 1 2 40 148 108
1 1 1 1 1 129 334 205
1 1 1 1 0 776 1497 721
1 1 1 1 -1 137 223 86
1 1 1 1 -2 58 79 21
1 1 1 1 -3 19 22 3
1 1 1 1 -4 15 18 3
1 1 1 1 -5 2 4 2
1 1 1 1 -8 1 1 0
1 1 1 10 8 0 1 1
1 1 1 10 6 0 1 1
1 1 1 10 5 1 5 4
1 1 1 10 4 2 13 11
1 1 1 10 3 7 23 16
1 1 1 10 2 30 70 40
1 1 1 10 1 57 149 92
1 1 1 10 0 365 696 331
1 1 1 10 -1 89 150 61
1 1 1 10 -2 47 62 15
1 1 1 10 -3 22 29 7
1 1 1 10 -4 9 10 1
1 1 1 10 -5 3 6 3
1 1 1 10 -6 1 1 0
1 1 1 10 -7 1 1 0
1 1 1 11 5 0 4 4
1 1 1 11 4 1 14 13
1 1 1 11 3 6 27 21
1 1 1 11 2 12 37 25
1 1 1 11 1 44 121 77
1 1 1 11 0 239 472 233
1 1 1 11 -1 94 148 54
1 1 1 11 -2 27 43 16
1 1 1 11 -3 15 19 4
1 1 1 11 -4 13 15 2
1 1 1 11 -5 4 5 1
1 1 1 11 -7 1 1 0
1 1 1 11 -8 1 1 0
1 1 1 100 6 0 1 1
1 1 1 100 4 1 6 5
1 1 1 100 3 1 11 10
1 1 1 100 2 11 22 11
1 1 1 100 1 32 71 39
1 1 1 100 0 135 246 111
1 1 1 100 -1 44 69 25
1 1 1 100 -2 25 31 6
1 1 1 100 -3 7 10 3
1 1 1 100 -4 2 2 0
1 1 1 100 -5 1 1 0
1 1 1 101 5 0 3 3
1 1 1 101 4 0 7 7
1 1 1 101 3 3 9 6
1 1 1 101 2 7 27 20
1 1 1 101 1 25 57 32
1 1 1 101 0 125 227 102
1 1 1 101 -1 60 92 32
1 1 1 101 -2 26 31 5
1 1 1 101 -3 10 15 5
1 1 1 101 -4 4 5 1
1 1 1 101 -5 5 6 1
1 1 1 110 5 0 1 1
1 1 1 110 4 0 2 2
1 1 1 110 3 1 6 5
1 1 1 110 2 6 14 8
1 1 1 110 1 14 29 15
1 1 1 110 0 70 117 47
1 1 1 110 -1 36 61 25
1 1 1 110 -2 20 30 10
1 1 1 110 -3 8 8 0
1 1 1 110 -4 4 4 0
1 1 1 110 -5 1 1 0
1 1 1 110 -7 1 1 0
1 1 1 111 5 0 2 2
1 1 1 111 4 0 3 3
1 1 1 111 3 2 6 4
1 1 1 111 2 6 10 4
1 1 1 111 1 15 34 19
1 1 1 111 0 55 106 51
1 1 1 111 -1 46 65 19
1 1 1 111 -2 22 26 4
1 1 1 111 -3 13 14 1
1 1 1 111 -4 3 3 0
1 1 1 111 -5 2 2 0
1 1 2 0 8 0 3 3
1 1 2 0 7 0 4 4
1 1 2 0 6 1 7 6
1 1 2 0 5 1 23 22
1 1 2 0 4 3 61 58
1 1 2 0 3 21 135 114
1 1 2 0 2 61 302 241
1 1 2 0 1 206 670 464
1 1 2 0 0 1274 2869 1595
1 1 2 0 -1 220 364 144
1 1 2 0 -2 143 214 71
1 1 2 0 -3 85 111 26
1 1 2 0 -4 27 32 5
1 1 2 0 -5 15 17 2
1 1 2 0 -6 1 1 0
1 1 2 0 -9 1 1 0
1 1 2 0 -12 1 1 0
1 1 2 1 8 0 1 1
1 1 2 1 7 0 1 1
1 1 2 1 6 0 4 4
1 1 2 1 5 0 10 10
1 1 2 1 4 4 30 26
1 1 2 1 3 6 59 53
1 1 2 1 2 39 155 116
1 1 2 1 1 92 304 212
1 1 2 1 0 634 1325 691
1 1 2 1 -1 191 331 140
1 1 2 1 -2 100 147 47
1 1 2 1 -3 58 70 12
1 1 2 1 -4 32 39 7
1 1 2 1 -5 12 13 1
1 1 2 1 -6 2 3 1
1 1 2 1 -7 1 1 0
1 1 2 1 -8 1 1 0
1 1 2 1 -10 1 1 0
1 1 2 1 -12 1 1 0
1 1 2 10 8 0 1 1
1 1 2 10 7 0 1 1
1 1 2 10 5 1 6 5
1 1 2 10 4 1 16 15
1 1 2 10 3 3 25 22
1 1 2 10 2 19 59 40
1 1 2 10 1 56 158 102
1 1 2 10 0 327 652 325
1 1 2 10 -1 131 229 98
1 1 2 10 -2 78 119 41
1 1 2 10 -3 42 57 15
1 1 2 10 -4 23 30 7
1 1 2 10 -5 6 9 3
1 1 2 10 -6 5 6 1
1 1 2 10 -7 1 1 0
1 1 2 10 -9 2 2 0
1 1 2 11 7 0 1 1
1 1 2 11 6 0 1 1
1 1 2 11 5 0 4 4
1 1 2 11 4 2 13 11
1 1 2 11 3 3 22 19
1 1 2 11 2 12 49 37
1 1 2 11 1 43 113 70
1 1 2 11 0 237 495 258
1 1 2 11 -1 130 215 85
1 1 2 11 -2 56 83 27
1 1 2 11 -3 33 39 6
1 1 2 11 -4 22 24 2
1 1 2 11 -5 5 6 1
1 1 2 11 -6 3 3 0
1 1 2 11 -7 2 2 0
1 1 2 11 -8 1 1 0
1 1 2 100 6 0 2 2
1 1 2 100 5 0 1 1
1 1 2 100 4 1 7 6
1 1 2 100 3 2 9 7
1 1 2 100 2 14 29 15
1 1 2 100 1 34 80 46
1 1 2 100 0 146 302 156
1 1 2 100 -1 59 106 47
1 1 2 100 -2 31 48 17
1 1 2 100 -3 16 25 9
1 1 2 100 -4 9 9 0
1 1 2 100 -5 5 9 4
1 1 2 100 -6 1 2 1
1 1 2 100 -7 1 1 0
1 1 2 100 -8 1 1 0
1 1 2 101 5 0 4 4
1 1 2 101 4 1 8 7
1 1 2 101 3 2 11 9
1 1 2 101 2 9 26 17
1 1 2 101 1 22 68 46
1 1 2 101 0 124 257 133
1 1 2 101 -1 64 106 42
1 1 2 101 -2 34 49 15
1 1 2 101 -3 16 22 6
1 1 2 101 -4 9 12 3
1 1 2 101 -5 6 8 2
1 1 2 101 -8 1 1 0
1 1 2 110 5 0 2 2
1 1 2 110 4 0 1 1
1 1 2 110 3 1 10 9
1 1 2 110 2 7 18 11
1 1 2 110 1 8 25 17
1 1 2 110 0 55 112 57
1 1 2 110 -1 44 78 34
1 1 2 110 -2 33 45 12
1 1 2 110 -3 7 11 4
1 1 2 110 -4 7 8 1
1 1 2 110 -5 3 4 1
1 1 2 110 -6 2 2 0
1 1 2 110 -7 3 3 0
1 1 2 111 5 0 2 2
1 1 2 111 4 0 1 1
1 1 2 111 3 1 8 7
1 1 2 111 2 8 22 14
1 1 2 111 1 14 37 23
1 1 2 111 0 70 149 79
1 1 2 111 -1 55 89 34
1 1 2 111 -2 25 34 9
1 1 2 111 -3 14 18 4
1 1 2 111 -4 7 8 1
1 1 2 111 -5 4 5 1
1 1 2 111 -8 1 1 0
2 0 0 0 9 0 1 1
2 0 0 0 8 0 5 5
2 0 0 0 7 0 3 3
2 0 0 0 6 1 12 11
2 0 0 0 5 1 39 38
2 0 0 0 4 6 95 89
2 0 0 0 3 28 226 198
2 0 0 0 2 103 526 423
2 0 0 0 1 335 1127 792
2 0 0 0 0 1823 4205 2382
2 0 0 0 -1 602 1085 483
2 0 0 0 -2 362 546 184
2 0 0 0 -3 173 233 60
2 0 0 0 -4 93 110 17
2 0 0 0 -5 39 48 9
2 0 0 0 -6 12 13 1
2 0 0 0 -7 3 3 0
2 0 0 0 -8 4 4 0
2 0 0 0 -9 1 1 0
2 0 0 0 -12 1 1 0
2 0 0 1 8 0 1 1
2 0 0 1 7 0 1 1
2 0 0 1 6 0 3 3
2 0 0 1 5 0 11 11
2 0 0 1 4 3 23 20
2 0 0 1 3 5 55 50
2 0 0 1 2 23 103 80
2 0 0 1 1 75 270 195
2 0 0 1 0 387 1000 613
2 0 0 1 -1 141 275 134
2 0 0 1 -2 81 136 55
2 0 0 1 -3 34 53 19
2 0 0 1 -4 20 27 7
2 0 0 1 -5 3 7 4
2 0 0 1 -6 2 2 0
2 0 0 1 -8 2 2 0
2 0 0 1 -9 1 1 0
2 0 0 10 8 0 1 1
2 0 0 10 6 0 1 1
2 0 0 10 5 0 6 6
2 0 0 10 4 0 7 7
2 0 0 10 3 1 13 12
2 0 0 10 2 2 38 36
2 0 0 10 1 30 105 75
2 0 0 10 0 96 282 186
2 0 0 10 -1 28 64 36
2 0 0 10 -2 23 38 15
2 0 0 10 -3 11 19 8
2 0 0 10 -4 9 10 1
2 0 0 10 -5 1 1 0
2 0 0 10 -6 0 1 1
2 0 0 10 -7 1 1 0
2 0 0 11 9 0 1 1
2 0 0 11 8 0 1 1
2 0 0 11 6 0 2 2
2 0 0 11 5 0 1 1
2 0 0 11 4 1 10 9
2 0 0 11 3 0 12 12
2 0 0 11 2 4 31 27
2 0 0 11 1 22 79 57
2 0 0 11 0 67 216 149
2 0 0 11 -1 29 53 24
2 0 0 11 -2 21 30 9
2 0 0 11 -3 7 11 4
2 0 0 11 -4 3 8 5
2 0 0 11 -5 2 3 1
2 0 0 11 -7 1 1 0
2 0 0 11 -8 1 1 0
2 0 0 100 5 0 1 1
2 0 0 100 4 1 2 1
2 0 0 100 3 0 1 1
2 0 0 100 2 0 9 9
2 0 0 100 1 1 10 9
2 0 0 100 0 6 29 23
2 0 0 100 -1 4 9 5
2 0 0 100 -2 0 2 2
2 0 0 100 -3 2 2 0
2 0 0 101 8 0 1 1
2 0 0 101 6 0 1 1
2 0 0 101 5 0 3 3
2 0 0 101 4 1 3 2
2 0 0 101 3 0 9 9
2 0 0 101 2 2 11 9
2 0 0 101 1 9 39 30
2 0 0 101 0 17 75 58
2 0 0 101 -1 4 17 13
2 0 0 101 -2 5 12 7
2 0 0 101 -3 2 3 1
2 0 0 101 -4 2 2 0
2 0 0 101 -6 1 1 0
2 0 0 110 4 0 4 4
2 0 0 110 3 0 6 6
2 0 0 110 2 0 10 10
2 0 0 110 1 8 28 20
2 0 0 110 0 8 39 31
2 0 0 110 -1 8 15 7
2 0 0 110 -2 4 13 9
2 0 0 110 -3 3 5 2
2 0 0 110 -4 1 1 0
2 0 0 110 -6 1 1 0
2 0 0 111 9 0 1 1
2 0 0 111 8 0 1 1
2 0 0 111 4 0 3 3
2 0 0 111 3 0 4 4
2 0 0 111 2 0 11 11
2 0 0 111 1 4 22 18
2 0 0 111 0 11 44 33
2 0 0 111 -1 8 17 9
2 0 0 111 -2 4 10 6
2 0 0 111 -3 2 3 1
2 0 1 0 9 0 3 3
2 0 1 0 8 0 3 3
2 0 1 0 7 0 5 5
2 0 1 0 6 1 15 14
2 0 1 0 5 1 36 35
2 0 1 0 4 3 74 71
2 0 1 0 3 26 192 166
2 0 1 0 2 94 454 360
2 0 1 0 1 267 867 600
2 0 1 0 0 1319 2845 1526
2 0 1 0 -1 424 742 318
2 0 1 0 -2 252 366 114
2 0 1 0 -3 126 161 35
2 0 1 0 -4 67 76 9
2 0 1 0 -5 31 35 4
2 0 1 0 -6 10 10 0
2 0 1 0 -7 2 2 0
2 0 1 0 -8 2 2 0
2 0 1 0 -12 1 1 0
2 0 1 1 7 0 5 5
2 0 1 1 6 0 5 5
2 0 1 1 5 0 14 14
2 0 1 1 4 4 24 20
2 0 1 1 3 13 73 60
2 0 1 1 2 37 168 131
2 0 1 1 1 101 365 264
2 0 1 1 0 512 1127 615
2 0 1 1 -1 155 294 139
2 0 1 1 -2 96 137 41
2 0 1 1 -3 46 66 20
2 0 1 1 -4 24 27 3
2 0 1 1 -5 8 11 3
2 0 1 1 -6 4 4 0
2 0 1 1 -8 1 1 0
2 0 1 10 9 0 2 2
2 0 1 10 8 0 2 2
2 0 1 10 7 0 4 4
2 0 1 10 6 0 9 9
2 0 1 10 5 0 10 10
2 0 1 10 4 5 19 14
2 0 1 10 3 4 46 42
2 0 1 10 2 20 109 89
2 0 1 10 1 41 161 120
2 0 1 10 0 159 380 221
2 0 1 10 -1 60 109 49
2 0 1 10 -2 26 45 19
2 0 1 10 -3 8 12 4
2 0 1 10 -4 9 13 4
2 0 1 10 -5 3 3 0
2 0 1 10 -6 1 1 0
2 0 1 10 -7 1 1 0
2 0 1 10 -8 1 1 0
2 0 1 10 -9 1 1 0
2 0 1 11 10 0 1 1
2 0 1 11 9 0 1 1
2 0 1 11 7 0 1 1
2 0 1 11 6 0 1 1
2 0 1 11 5 0 5 5
2 0 1 11 4 4 19 15
2 0 1 11 3 4 25 21
2 0 1 11 2 20 78 58
2 0 1 11 1 39 137 98
2 0 1 11 0 151 363 212
2 0 1 11 -1 41 83 42
2 0 1 11 -2 32 53 21
2 0 1 11 -3 10 19 9
2 0 1 11 -4 8 12 4
2 0 1 11 -5 1 3 2
2 0 1 11 -6 1 1 0
2 0 1 100 8 0 1 1
2 0 1 100 7 0 1 1
2 0 1 100 6 0 1 1
2 0 1 100 5 0 8 8
2 0 1 100 4 0 7 7
2 0 1 100 3 2 15 13
2 0 1 100 2 9 44 35
2 0 1 100 1 16 58 42
2 0 1 100 0 36 117 81
2 0 1 100 -1 13 29 16
2 0 1 100 -2 6 10 4
2 0 1 100 -3 7 10 3
2 0 1 100 -4 3 3 0
2 0 1 100 -5 1 1 0
2 0 1 100 -6 0 1 1
2 0 1 101 9 0 1 1
2 0 1 101 8 0 1 1
2 0 1 101 7 0 1 1
2 0 1 101 6 0 3 3
2 0 1 101 5 0 8 8
2 0 1 101 4 1 7 6
2 0 1 101 3 0 19 19
2 0 1 101 2 13 39 26
2 0 1 101 1 20 79 59
2 0 1 101 0 42 114 72
2 0 1 101 -1 17 45 28
2 0 1 101 -2 13 23 10
2 0 1 101 -3 7 11 4
2 0 1 101 -4 2 2 0
2 0 1 101 -5 0 1 1
2 0 1 101 -6 1 1 0
2 0 1 110 7 0 3 3
2 0 1 110 6 0 3 3
2 0 1 110 5 0 1 1
2 0 1 110 4 0 9 9
2 0 1 110 3 3 15 12
2 0 1 110 2 5 30 25
2 0 1 110 1 17 68 51
2 0 1 110 0 29 102 73
2 0 1 110 -1 19 38 19
2 0 1 110 -2 9 16 7
2 0 1 110 -3 3 3 0
2 0 1 110 -4 1 2 1
2 0 1 110 -5 2 2 0
2 0 1 111 11 0 2 2
2 0 1 111 10 0 2 2
2 0 1 111 9 0 1 1
2 0 1 111 6 0 1 1
2 0 1 111 5 0 4 4
2 0 1 111 4 0 5 5
2 0 1 111 3 2 14 12
2 0 1 111 2 5 29 24
2 0 1 111 1 10 65 55
2 0 1 111 0 28 93 65
2 0 1 111 -1 19 29 10
2 0 1 111 -2 4 11 7
2 0 1 111 -3 3 5 2
2 0 1 111 -4 4 4 0
2 0 2 0 9 0 5 5
2 0 2 0 8 0 5 5
2 0 2 0 7 0 5 5
2 0 2 0 6 2 24 22
2 0 2 0 5 2 36 34
2 0 2 0 4 1 84 83
2 0 2 0 3 23 188 165
2 0 2 0 2 80 381 301
2 0 2 0 1 244 742 498
2 0 2 0 0 1040 2167 1127
2 0 2 0 -1 340 575 235
2 0 2 0 -2 199 286 87
2 0 2 0 -3 101 122 21
2 0 2 0 -4 50 54 4
2 0 2 0 -5 19 23 4
2 0 2 0 -6 6 6 0
2 0 2 0 -7 2 2 0
2 0 2 0 -8 1 1 0
2 0 2 0 -12 1 1 0
2 0 2 1 8 0 3 3
2 0 2 1 7 0 9 9
2 0 2 1 6 1 17 16
2 0 2 1 5 1 31 30
2 0 2 1 4 6 50 44
2 0 2 1 3 12 117 105
2 0 2 1 2 44 196 152
2 0 2 1 1 134 415 281
2 0 2 1 0 469 975 506
2 0 2 1 -1 159 273 114
2 0 2 1 -2 94 136 42
2 0 2 1 -3 47 60 13
2 0 2 1 -4 28 31 3
2 0 2 1 -5 7 8 1
2 0 2 1 -6 4 4 0
2 0 2 1 -8 1 1 0
2 0 2 10 9 0 2 2
2 0 2 10 8 0 1 1
2 0 2 10 7 0 9 9
2 0 2 10 6 0 12 12
2 0 2 10 5 0 25 25
2 0 2 10 4 5 43 38
2 0 2 10 3 12 92 80
2 0 2 10 2 26 171 145
2 0 2 10 1 72 233 161
2 0 2 10 0 206 464 258
2 0 2 10 -1 77 127 50
2 0 2 10 -2 31 46 15
2 0 2 10 -3 9 13 4
2 0 2 10 -4 13 16 3
2 0 2 10 -5 6 6 0
2 0 2 10 -6 2 2 0
2 0 2 10 -7 1 1 0
2 0 2 10 -8 1 1 0
2 0 2 11 13 0 1 1
2 0 2 11 9 0 1 1
2 0 2 11 8 0 1 1
2 0 2 11 7 0 2 2
2 0 2 11 6 0 4 4
2 0 2 11 5 1 14 13
2 0 2 11 4 7 34 27
2 0 2 11 3 6 61 55
2 0 2 11 2 20 104 84
2 0 2 11 1 57 200 143
2 0 2 11 0 182 400 218
2 0 2 11 -1 36 70 34
2 0 2 11 -2 32 53 21
2 0 2 11 -3 15 24 9
2 0 2 11 -4 8 14 6
2 0 2 11 -5 3 4 1
2 0 2 11 -6 2 2 0
2 0 2 100 8 0 3 3
2 0 2 100 7 0 4 4
2 0 2 100 6 0 4 4
2 0 2 100 5 1 12 11
2 0 2 100 4 3 17 14
2 0 2 100 3 4 32 28
2 0 2 100 2 13 65 52
2 0 2 100 1 32 103 71
2 0 2 100 0 61 162 101
2 0 2 100 -1 23 42 19
2 0 2 100 -2 13 17 4
2 0 2 100 -3 9 11 2
2 0 2 100 -4 8 9 1
2 0 2 100 -9 1 1 0
2 0 2 101 12 0 1 1
2 0 2 101 7 0 2 2
2 0 2 101 6 0 4 4
2 0 2 101 5 0 4 4
2 0 2 101 4 2 14 12
2 0 2 101 3 7 41 34
2 0 2 101 2 13 56 43
2 0 2 101 1 29 93 64
2 0 2 101 0 66 153 87
2 0 2 101 -1 21 44 23
2 0 2 101 -2 14 18 4
2 0 2 101 -3 5 8 3
2 0 2 101 -4 1 1 0
2 0 2 101 -5 1 2 1
2 0 2 110 14 0 1 1
2 0 2 110 7 0 1 1
2 0 2 110 6 0 2 2
2 0 2 110 5 0 5 5
2 0 2 110 4 1 9 8
2 0 2 110 3 2 19 17
2 0 2 110 2 13 46 33
2 0 2 110 1 14 67 53
2 0 2 110 0 49 109 60
2 0 2 110 -1 24 37 13
2 0 2 110 -2 12 23 11
2 0 2 110 -3 5 7 2
2 0 2 110 -4 1 2 1
2 0 2 110 -5 1 2 1
2 0 2 111 11 0 1 1
2 0 2 111 9 0 1 1
2 0 2 111 6 0 2 2
2 0 2 111 5 0 5 5
2 0 2 111 4 0 11 11
2 0 2 111 3 1 20 19
2 0 2 111 2 9 46 37
2 0 2 111 1 14 63 49
2 0 2 111 0 51 105 54
2 0 2 111 -1 11 22 11
2 0 2 111 -2 5 17 12
2 0 2 111 -3 7 9 2
2 0 2 111 -4 3 3 0
2 1 0 0 14 0 1 1
2 1 0 0 13 0 1 1
2 1 0 0 9 0 8 8
2 1 0 0 8 0 10 10
2 1 0 0 7 0 26 26
2 1 0 0 6 2 46 44
2 1 0 0 5 5 80 75
2 1 0 0 4 19 175 156
