TEAM YEAR NUMBER NAME SALARY
baystars 2009 17 加藤武治 5700万円
baystars 2009 19 藤江均 1200万円
baystars 2009 20 木塚敦志 7000万円
baystars 2009 21 吉見祐治 2700万円
baystars 2009 22 高崎健太郎 1100万円
baystars 2009 24 寺原隼人 8000万円
baystars 2009 27 山北茂利 1710万円
baystars 2009 28 秦裕二 1000万円
baystars 2009 30 真田裕貴 2000万円
baystars 2009 32 松家卓弘 630万円
baystars 2009 34 三橋直樹 1400万円
baystars 2009 35 牛田成樹 1500万円
baystars 2009 37 岡本直也 600万円
baystars 2009 38 桑原謙太朗 1600万円
baystars 2009 41 小山田保裕 2350万円
baystars 2009 42 T.マストニー 7200万円
baystars 2009 44 石井裕也 3000万円
baystars 2009 45 吉原道臣 1000万円
baystars 2009 46 田中健二朗 700万円
baystars 2009 47 工藤公康 5000万円
baystars 2009 48 L.ウォーランド 6300万円
baystars 2009 54 小杉陽太 1000万円
baystars 2009 57 加藤康介 960万円
baystars 2009 58 阿斗里 580万円
baystars 2009 60 佐藤祥万 680万円
baystars 2009 99 横山道哉 2500万円
baystars 2009 113 陳瑋 240万円
baystars 2009 5 野口寿浩 7500万円
baystars 2009 29 新沼慎二 900万円
baystars 2009 36 細山田武史 1000万円
baystars 2009 49 齋藤俊雄 700万円
baystars 2009 59 黒羽根利規 530万円
baystars 2009 61 武山真吾 800万円
baystars 2009 62 高森勇気 490万円
baystars 2009 112 杉本昌都 240万円
baystars 2009 0 山崎憲晴 1000万円
baystars 2009 2 内川聖一 8500万円
baystars 2009 4 北川隼行 790万円
baystars 2009 23 藤田一也 1500万円
baystars 2009 26 佐伯貴弘 3000万円
baystars 2009 43 北篤 670万円
baystars 2009 52 石川雄洋 1500万円
baystars 2009 53 野中信吾 1400万円
baystars 2009 55 呉本成徳 700万円
baystars 2009 56 斉藤秀光 800万円
baystars 2009 63 梶谷隆幸 510万円
baystars 2009 114 王靖超 240万円
baystars 2009 0 森笠繁 2800万円
baystars 2009 6 松本啓二朗 1500万円
baystars 2009 9 下窪陽介 1300万円
baystars 2009 31 吉村裕基 8600万円
baystars 2009 33 大西宏明 3800万円
baystars 2009 39 内藤雄太 800万円
baystars 2009 40 桑原義行 700万円
baystars 2009 50 下園辰哉 1000万円
baystars 2009 65 関口雄大 440万円
baystars 2009 67 坂本大空也 470万円
baystars 2010 17 清水直行 28000万円
baystars 2010 18 三浦大輔 25000万円
baystars 2010 2 内川聖一 17000万円
baystars 2010 25 村田修一 26000万円
baystars 2010 1 金城龍彦 12500万円
baystars 2010 3 スレッジ 18000万円
baystars 2010 11 山口俊 3000万円
baystars 2010 12 吉川輝昭 950万円
baystars 2010 13 弥太郎 2400万円
baystars 2010 14 小林太志 2000万円
baystars 2010 15 高宮和也 960万円
baystars 2010 16 加賀繁 1200万円
baystars 2010 19 藤江均 1100万円
baystars 2010 20 木塚敦志 7000万円
baystars 2010 21 吉見祐治 2900万円
baystars 2010 22 高崎健太郎 2200万円
baystars 2010 24 寺原隼人 6400万円
baystars 2010 27 ブーチェック 5000万円
baystars 2010 28 秦裕二 760万円
baystars 2010 30 真田裕貴 4000万円
baystars 2010 34 篠原貴行 1200万円
baystars 2010 35 牛田成樹 1200万円
baystars 2010 38 桑原謙太朗 1400万円
baystars 2010 41 小山田保裕 1880万円
baystars 2010 44 石井裕也 2650万円
baystars 2010 45 吉原道臣 800万円
baystars 2010 46 田中健二朗 670万円
baystars 2010 47 眞下貴之 500万円
baystars 2010 48 安斉雄虎 500万円
baystars 2010 49 福田岳洋 600万円
baystars 2010 54 小杉陽太 900万円
baystars 2010 56 杉原洋 600万円
baystars 2010 57 加藤康介 1700万円
baystars 2010 58 阿斗里 600万円
baystars 2010 60 佐藤祥万 650万円
baystars 2010 64 松山傑 450万円
baystars 2010 65 王溢正 600万円
baystars 2010 68 S.ランドルフ 5500万円
baystars 2010 111 国吉佑樹 240万円
baystars 2010 113 陳瑋 240万円
baystars 2010 115 小林公太 240万円
baystars 2010 5 野口寿浩 7500万円
baystars 2010 10 橋本将 7500万円
baystars 2010 29 新沼慎二 1100万円
baystars 2010 36 細山田武史 1500万円
baystars 2010 59 黒羽根利規 580万円
baystars 2010 61 武山真吾 1200万円
baystars 2010 62 高森勇気 540万円
baystars 2010 112 杉本昌都 280万円
baystars 2010 0 山崎憲晴 1300万円
baystars 2010 4 北川隼行 940万円
baystars 2010 7 石川雄洋 3000万円
baystars 2010 23 藤田一也 2850万円
baystars 2010 26 佐伯貴弘 4500万円
baystars 2010 32 稲田直人 2100万円
baystars 2010 43 北篤 650万円
baystars 2010 51 カスティーヨ 3060万円
baystars 2010 53 野中信吾 1100万円
baystars 2010 55 筒香嘉智 800万円
baystars 2010 63 梶谷隆幸 660万円
baystars 2010 114 王靖超 240万円
baystars 2010 0 森笠繁 2400万円
baystars 2010 6 松本啓二朗 1200万円
baystars 2010 9 下窪陽介 1000万円
baystars 2010 31 吉村裕基 8000万円
baystars 2010 33 大西宏明 3100万円
baystars 2010 37 早川大輔 4000万円
baystars 2010 39 内藤雄太 1200万円
baystars 2010 40 桑原義行 800万円
baystars 2010 50 下園辰哉 1650万円
baystars 2010 67 坂本大空也 480万円
baystars 2011 17 清水直行 28000万円
baystars 2011 18 三浦大輔 30000万円
baystars 2011 44 大家友和 10000万円
baystars 2011 25 村田修一 22000万円
baystars 2011 3 T.スレッジ 18000万円
baystars 2011 11 山口俊 5400万円
baystars 2011 12 小林寛 1000万円
baystars 2011 13 大沼幸二 2500万円
baystars 2011 14 小林太志 1800万円
baystars 2011 15 山本省吾 6200万円
baystars 2011 16 加賀繁 2500万円
baystars 2011 19 藤江均 1200万円
baystars 2011 20 須田幸太 1500万円
baystars 2011 21 加賀美希昇 1200万円
baystars 2011 22 高崎健太郎 1800万円
baystars 2011 24 B.リーチ 6000万円
baystars 2011 27 江尻慎太郎 3800万円
baystars 2011 28 秦裕二 900万円
baystars 2011 30 真田裕貴 4900万円
baystars 2011 34 篠原貴行 1200万円
baystars 2011 35 牛田成樹 2600万円
baystars 2011 38 C.ハミルトン 1000万円
baystars 2011 41 大原慎司 1000万円
baystars 2011 45 福山博之 740万円
baystars 2011 46 田中健二朗 820万円
baystars 2011 47 眞下貴之 550万円
