id,team,hit,opponent,year,score_team,score_opponent
ARI201309140,ARI,16,COL,2012,9,2
ARI201309150,COL,8,ARI,2012,2,8
ARI201309150,ARI,12,COL,2012,8,2
ARI201309160,LAN,4,ARI,2012,1,2
ARI201309160,ARI,2,LAN,2012,2,1
ARI201309170,LAN,12,ARI,2012,9,3
ARI201309170,ARI,8,LAN,2012,3,9
ARI201309180,LAN,12,ARI,2012,4,9
ARI201309180,ARI,12,LAN,2012,9,3
ARI201309190,LAN,11,ARI,2012,7,6
ARI201309190,ARI,10,LAN,2012,6,7
ARI201309270,WAS,9,ARI,2012,8,2
ARI201309270,ARI,9,WAS,2012,4,8
ARI201309280,WAS,6,ARI,2012,2,0
ARI201309280,ARI,5,WAS,2012,0,2
ARI201309290,WAS,8,ARI,2012,2,3
ARI201309290,ARI,7,WAS,2012,3,2
ATL201304010,PHI,10,ATL,2012,5,7
ATL201304010,ATL,10,PHI,2012,7,5
ATL201304030,PHI,9,ATL,2012,2,9
ATL201304030,ATL,9,PHI,2012,9,2
ATL201304040,PHI,8,ATL,2012,2,0
ATL201304040,ATL,2,PHI,2012,0,2
ATL201304050,CHN,5,ATL,2012,1,4
ATL201304050,ATL,6,CHN,2012,4,1
ATL201304060,CHN,13,ATL,2012,5,4
ATL201304060,ATL,12,CHN,2012,5,5
ATL201304070,CHN,5,ATL,2012,1,5
ATL201304070,ATL,6,CHN,2012,5,1
ATL201304160,KCA,9,ATL,2012,3,6
ATL201304160,ATL,9,KCA,2012,6,2
ATL201304170,KCA,8,ATL,2012,1,0
ATL201304170,ATL,6,KCA,2012,0,1
ATL201304290,WAS,10,ATL,2012,2,3
ATL201304290,ATL,7,WAS,2012,3,2
ATL201304300,WAS,3,ATL,2012,1,8
ATL201304300,ATL,12,WAS,2012,8,1
ATL201305010,WAS,3,ATL,2012,2,0
ATL201305010,ATL,2,WAS,2012,0,2
ATL201305020,WAS,8,ATL,2012,3,1
ATL201305020,ATL,5,WAS,2012,1,3
ATL201305030,NYN,7,ATL,2012,7,5
ATL201305030,ATL,10,NYN,2012,5,7
ATL201305050,NYN,6,ATL,2012,4,9
ATL201305050,ATL,12,NYN,2012,9,4
ATL201305170,LAN,10,ATL,2012,5,8
ATL201305170,ATL,9,LAN,2012,8,5
ATL201305180,LAN,2,ATL,2012,1,3
ATL201305180,ATL,7,LAN,2012,3,1
ATL201305190,LAN,3,ATL,2012,2,5
ATL201305190,ATL,8,LAN,2012,5,2
ATL201305200,MIN,6,ATL,2012,1,5
ATL201305200,ATL,9,MIN,2012,5,0
ATL201305210,MIN,10,ATL,2012,4,4
ATL201305210,ATL,10,MIN,2012,4,4
ATL201305220,MIN,9,ATL,2012,3,8
ATL201305220,ATL,10,MIN,2012,8,1
ATL201305290,TOR,8,ATL,2012,3,0
ATL201305290,ATL,4,TOR,2012,0,3
ATL201305300,TOR,7,ATL,2012,3,11
ATL201305300,ATL,15,TOR,2012,11,3
ATL201305310,WAS,9,ATL,2012,3,2
ATL201305310,ATL,4,WAS,2012,2,3
ATL201306010,WAS,5,ATL,2012,1,1
ATL201306010,ATL,5,WAS,2012,1,1
ATL201306020,WAS,5,ATL,2012,3,6
ATL201306020,ATL,9,WAS,2012,6,3
ATL201306030,PIT,9,ATL,2012,2,7
ATL201306030,ATL,10,PIT,2012,7,1
ATL201306040,PIT,5,ATL,2012,4,4
ATL201306040,ATL,10,PIT,2012,4,4
ATL201306050,PIT,1,ATL,2012,0,5
ATL201306050,ATL,7,PIT,2012,5,0
ATL201306140,SFN,11,ATL,2012,6,0
ATL201306140,ATL,3,SFN,2012,0,6
ATL201306150,SFN,11,ATL,2012,5,4
ATL201306150,ATL,11,SFN,2012,5,5
ATL201306160,SFN,7,ATL,2012,0,3
ATL201306160,ATL,7,SFN,2012,3,0
ATL201306170,NYN,7,ATL,2012,1,0
ATL201306170,ATL,5,NYN,2012,0,1
ATL201306181,NYN,7,ATL,2012,4,3
ATL201306181,ATL,6,NYN,2012,3,4
ATL201306182,NYN,14,ATL,2012,6,1
