id,team,game,teamhit5game,year
BAL201305200,BAL,28,57,2013
BAL201305210,BAL,29,51,2013
BAL201305220,BAL,30,52,2013
BAL201305290,BAL,31,48,2013
BAL201305300,BAL,32,42,2013
BAL201305310,BAL,33,41,2013
BAL201306010,BAL,34,44,2013
BAL201306020,BAL,35,47,2013
BAL201306100,BAL,36,42,2013
BAL201306110,BAL,37,45,2013
BAL201306120,BAL,38,51,2013
BAL201306130,BAL,39,50,2013
BAL201306140,BAL,40,44,2013
BAL201306150,BAL,41,43,2013
BAL201306160,BAL,42,44,2013
BAL201306240,BAL,43,35,2013
BAL201306250,BAL,44,41,2013
BAL201306260,BAL,45,43,2013
BAL201306270,BAL,46,49,2013
BAL201306280,BAL,47,44,2013
BAL201306290,BAL,48,49,2013
BAL201306300,BAL,49,40,2013
BAL201307080,BAL,50,41,2013
BAL201307090,BAL,51,38,2013
BAL201307100,BAL,52,40,2013
BAL201307110,BAL,53,40,2013
BAL201307120,BAL,54,42,2013
BAL201307130,BAL,55,38,2013
BAL201307140,BAL,56,34,2013
BAL201307260,BAL,57,33,2013
BAL201307270,BAL,58,34,2013
BAL201307280,BAL,59,37,2013
BAL201307300,BAL,60,38,2013
BAL201307310,BAL,61,43,2013
BAL201308010,BAL,62,41,2013
BAL201308020,BAL,63,40,2013
BAL201308030,BAL,64,44,2013
BAL201308040,BAL,65,53,2013
BAL201308160,BAL,66,50,2013
BAL201308170,BAL,67,53,2013
BAL201308180,BAL,68,50,2013
BAL201308190,BAL,69,40,2013
BAL201308200,BAL,70,38,2013
BAL201308210,BAL,71,40,2013
BAL201308230,BAL,72,41,2013
BAL201308240,BAL,73,47,2013
BAL201308250,BAL,74,48,2013
BAL201309050,BAL,75,42,2013
BAL201309060,BAL,76,41,2013
BAL201309070,BAL,77,45,2013
BAL201309080,BAL,78,42,2013
BAL201309090,BAL,79,46,2013
BAL201309100,BAL,80,52,2013
BAL201309110,BAL,81,55,2013
BAL201309120,BAL,82,50,2013
BAL201309240,BAL,83,52,2013
BAL201309250,BAL,84,52,2013
BAL201309260,BAL,85,44,2013
BAL201309270,BAL,86,41,2013
BAL201309280,BAL,87,42,2013
BAL201309290,BAL,88,34,2013
BOS201304080,BAL,89,31,2013
BOS201304100,BAL,90,33,2013
BOS201304110,BAL,91,33,2013
BOS201308270,BAL,92,34,2013
BOS201308280,BAL,93,32,2013
BOS201308290,BAL,94,33,2013
BOS201309170,BAL,95,35,2013
BOS201309180,BAL,96,32,2013
BOS201309190,BAL,97,33,2013
CHA201307020,BAL,98,39,2013
CHA201307030,BAL,99,37,2013
CHA201307040,BAL,100,35,2013
CLE201309020,BAL,101,41,2013
CLE201309030,BAL,102,47,2013
CLE201309040,BAL,103,47,2013
DET201306170,BAL,104,54,2013
DET201306180,BAL,105,58,2013
DET201306190,BAL,106,67,2013
HOU201306040,BAL,107,55,2013
HOU201306050,BAL,108,55,2013
HOU201306060,BAL,109,50,2013
KCA201307220,BAL,110,57,2013
KCA201307230,BAL,111,51,2013
KCA201307240,BAL,112,57,2013
KCA201307250,BAL,113,58,2013
MIN201305100,BAL,114,61,2013
MIN201305110,BAL,115,48,2013
MIN201305120,BAL,116,39,2013
NYA201304120,BAL,117,39,2013
NYA201304130,BAL,118,36,2013
NYA201304140,BAL,119,34,2013
NYA201307050,BAL,120,32,2013
NYA201307060,BAL,121,41,2013
NYA201307070,BAL,122,45,2013
NYA201308300,BAL,123,46,2013
NYA201308310,BAL,124,47,2013
NYA201309010,BAL,125,59,2013
OAK201304250,BAL,126,57,2013
OAK201304260,BAL,127,55,2013
OAK201304270,BAL,128,52,2013
OAK201304280,BAL,129,55,2013
SDN201308060,BAL,130,47,2013
SDN201308070,BAL,131,46,2013
SEA201304290,BAL,132,41,2013
SEA201304300,BAL,133,49,2013
SEA201305010,BAL,134,49,2013
SFN201308090,BAL,135,53,2013
SFN201308100,BAL,136,53,2013
SFN201308110,BAL,137,47,2013
TBA201304020,BAL,138,39,2013
TBA201304030,BAL,139,42,2013
TBA201304040,BAL,140,43,2013
TBA201306070,BAL,141,39,2013
TBA201306080,BAL,142,40,2013
TBA201306090,BAL,143,46,2013
TBA201309200,BAL,144,36,2013
